suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-rect,pglib_opf_case588_sdet.m,pglib_opf_case588_sdet.m,JuMP,4110,7155,24631,27968,1.58e-7,0.000310048,2.4118e-5,0.001084318,0.000681102,0.080252213
OPF-rect,pglib_opf_case793_goc.m,pglib_opf_case793_goc.m,JuMP,5432,9564,32775,38034,2.56e-7,0.000508135,3.1645e-5,0.001583379,0.000996274,0.113807017
OPF-rect,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,JuMP,11192,19354,71813,83234,3.39e-7,0.001134785,8.2864e-5,0.005040993,0.003280479,0.257564653
OPF-rect,pglib_opf_case1803_snem.m,pglib_opf_case1803_snem.m,JuMP,15246,26778,97585,113590,3.03e-7,0.001740211,9.8439e-5,0.007016259,0.006201309,0.458788362
OPF-rect,pglib_opf_case1888_rte.m,pglib_opf_case1888_rte.m,JuMP,14480,25270,89215,100844,3.7e-7,0.001511041,0.000107053,0.006262477,0.005800487,0.393083375
OPF-rect,pglib_opf_case1951_rte.m,pglib_opf_case1951_rte.m,JuMP,15018,25977,91657,102432,4.52e-7,0.001649708,0.000114004,0.007078724,0.005588994,0.342360912
OPF-rect,pglib_opf_case2000_goc.m,pglib_opf_case2000_goc.m,JuMP,19008,33432,124981,146424,5.64e-7,0.002921423,0.000123577,0.009473204,0.009215093,0.615637759
OPF-rect,pglib_opf_case2312_goc.m,pglib_opf_case2312_goc.m,JuMP,17128,30340,106737,124404,3.87e-7,0.002306597,0.000109178,0.009038459,0.007627209,0.575524752
OPF-rect,pglib_opf_case2383wp_k.m,pglib_opf_case2383wp_k.m,JuMP,17004,29805,102859,117240,1.29e-7,0.002470652,9.7037e-5,0.008517371,0.007018861,0.574561275
OPF-rect,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,JuMP,19088,33828,116095,135048,1.47e-7,0.002615673,0.000108788,0.009421465,0.008175752,0.615045744
OPF-rect,pglib_opf_case2737sop_k.m,pglib_opf_case2737sop_k.m,JuMP,18988,33832,116007,135062,1.2e-7,0.002803679,9.4313e-5,0.009280322,0.008328098,0.517523366
OPF-rect,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,JuMP,24540,43680,160899,188620,3.49e-7,0.004751967,0.000156906,0.013388114,0.011972206,0.736940285
OPF-rect,pglib_opf_case2746wop_k.m,pglib_opf_case2746wop_k.m,JuMP,19582,34134,117685,136544,1.51e-7,0.002479002,0.00011182,0.008524221,0.008124588,0.535737434
OPF-rect,pglib_opf_case2746wp_k.m,pglib_opf_case2746wp_k.m,JuMP,19520,33938,116825,135466,1.69e-7,0.004096696,0.000111527,0.010848828,0.008474346,0.519986269
OPF-rect,pglib_opf_case2848_rte.m,pglib_opf_case2848_rte.m,JuMP,21822,37825,133343,152468,6.07e-7,0.003904402,0.00016826,0.010758269,0.010081689,0.533807618
OPF-rect,pglib_opf_case2853_sdet.m,pglib_opf_case2853_sdet.m,JuMP,23028,38860,139315,156618,9.43e-7,0.00431675,0.000204041,0.012239548,0.010781572,0.562000414
OPF-rect,pglib_opf_case2868_rte.m,pglib_opf_case2868_rte.m,JuMP,22090,38129,134517,153158,6.64e-7,0.003192677,0.000188935,0.009629908,0.010098627,0.529774077
OPF-rect,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,JuMP,25086,43551,163607,188462,6.1e-7,0.005286303,0.000193212,0.015370912,0.012182946,0.754669332
OPF-rect,pglib_opf_case3012wp_k.m,pglib_opf_case3012wp_k.m,JuMP,21082,37053,127141,147682,1.64e-7,0.002923537,0.000120178,0.009406241,0.009512064,0.636145371
OPF-rect,pglib_opf_case3022_goc.m,pglib_opf_case3022_goc.m,JuMP,23238,41034,146059,167764,6.38e-7,0.004555365,0.000170089,0.012798723,0.011693745,0.610374403
OPF-rect,pglib_opf_case3120sp_k.m,pglib_opf_case3120sp_k.m,JuMP,21608,38332,131271,152700,1.53e-7,0.002978147,0.000123057,0.009575064,0.010288274,0.53039877
