suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
OPF-polar,pglib_opf_case10192_epigrids.m,pglib_opf_case10192_epigrids.m,ExaModels,89850,139456,532137,769576,1.9e-8,0.001525191,2.5779e-5,0.002728622,0.00456988,2.7044e-5,0.003189205,0.003239395,0.060178344
OPF-polar,pglib_opf_case10480_goc.m,pglib_opf_case10480_goc.m,ExaModels,96750,150874,579285,838333,1.8e-8,0.00167858,2.9054e-5,0.002991621,0.005013434,2.8941e-5,0.00352333,0.003597823,0.06393266
OPF-polar,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,ExaModels,117370,170588,649513,931958,1.8e-8,0.002061008,4.1915e-5,0.003552348,0.005859772,4.2549e-5,0.004780374,0.004808865,0.086829336
OPF-polar,pglib_opf_case19402_goc.m,pglib_opf_case19402_goc.m,ExaModels,179562,281733,1081867,1566751,1.8e-8,0.003299935,5.3784e-5,0.005946994,0.010042053,5.4343e-5,0.006850916,0.007148454,0.12070567
OPF-polar,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,ExaModels,179236,274918,1046155,1510782,1.9e-8,0.003194481,5.6462e-5,0.005645462,0.009636107,5.6344e-5,0.006498334,0.006808279,0.126143555
OPF-polar,pglib_opf_case24464_goc.m,pglib_opf_case24464_goc.m,ExaModels,203374,313641,1186591,1714423,1.8e-8,0.00380797,6.2353e-5,0.006712759,0.011296165,6.2601e-5,0.007689926,0.008032098,0.143537692
OPF-polar,pglib_opf_case30000_goc.m,pglib_opf_case30000_goc.m,ExaModels,208624,307752,1128843,1620818,1.8e-8,0.003634164,6.7588e-5,0.00629081,0.010611307,6.8637e-5,0.007110473,0.007416162,0.150039626
OPF-polar,pglib_opf_case78484_epigrids.m,pglib_opf_case78484_epigrids.m,ExaModels,674562,1039062,3950953,5708389,1.8e-8,0.026104166,0.000220294,0.03390377,0.0484844,0.000223446,0.037727432,0.040392461,0.522680713
OPF-rect,pglib_opf_case3_lmbd.m,pglib_opf_case3_lmbd.m,ExaModels,24,31,122,150,1.8e-8,2.5e-7,3.0e-8,4.39e-7,4.93e-7,3.1e-8,5.59e-7,5.24e-7,0.00032616
OPF-rect,pglib_opf_case5_pjm.m,pglib_opf_case5_pjm.m,ExaModels,44,58,234,290,1.8e-8,3.61e-7,3.4e-8,7.85e-7,8.79e-7,3.7e-8,9.87e-7,9.27e-7,0.000346793
OPF-rect,pglib_opf_case14_ieee.m,pglib_opf_case14_ieee.m,ExaModels,118,183,736,932,1.8e-8,8.5e-7,4.0e-8,2.414e-6,2.723e-6,4.1e-8,2.999e-6,3.013e-6,0.000412
OPF-rect,pglib_opf_case24_ieee_rts.m,pglib_opf_case24_ieee_rts.m,ExaModels,266,339,1428,1776,1.8e-8,1.555e-6,9.6e-8,4.554e-6,5.283e-6,1.07e-7,5.756e-6,5.227e-6,0.000526157
OPF-rect,pglib_opf_case30_ieee.m,pglib_opf_case30_ieee.m,ExaModels,236,378,1506,1911,1.8e-8,1.629e-6,4.9e-8,4.902e-6,5.59e-6,5.1e-8,6.044e-6,5.702e-6,0.000477875
OPF-rect,pglib_opf_case30_as.m,pglib_opf_case30_as.m,ExaModels,236,378,1506,1911,1.8e-8,1.607e-6,4.8e-8,4.916e-6,5.576e-6,4.9e-8,6.057e-6,5.658e-6,0.000474937
