suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-polar,pglib_opf_case3022_goc.m,pglib_opf_case3022_goc.m,JuMP,23238,34990,125203,182548,6.92e-7,0.001056057,0.000224622,0.011011037,0.053227814,2.341878527
OPF-polar,pglib_opf_case3120sp_k.m,pglib_opf_case3120sp_k.m,JuMP,21608,32092,111396,162501,1.82e-7,0.000725621,0.0001632,0.011324354,0.048461588,1.785853057
OPF-polar,pglib_opf_case3375wp_k.m,pglib_opf_case3375wp_k.m,JuMP,24350,35876,125798,183093,3.18e-7,0.000815694,0.000211498,0.01043225,0.052830261,2.47278385
OPF-polar,pglib_opf_case3970_goc.m,pglib_opf_case3970_goc.m,JuMP,35270,54428,200010,292282,7.2e-7,0.002131799,0.000375602,0.019371227,0.088024239,3.634539733
OPF-polar,pglib_opf_case4020_goc.m,pglib_opf_case4020_goc.m,JuMP,36696,56957,210388,307538,5.06e-7,0.002559002,0.000358242,0.019535636,0.089253367,3.711046486
OPF-polar,pglib_opf_case4601_goc.m,pglib_opf_case4601_goc.m,JuMP,38814,59596,216804,316835,6.56e-7,0.002024701,0.000379284,0.020602366,0.093550698,3.515828702
OPF-polar,pglib_opf_case4619_goc.m,pglib_opf_case4619_goc.m,JuMP,42532,66289,245400,358834,5.13e-7,0.0028162,0.000413929,0.02457113,0.107375017,4.275367841
OPF-polar,pglib_opf_case4661_sdet.m,pglib_opf_case4661_sdet.m,JuMP,34758,51302,182055,264564,9.18e-7,0.002713237,0.000404837,0.019175275,0.076141092,2.956655606
OPF-polar,pglib_opf_case4837_goc.m,pglib_opf_case4837_goc.m,JuMP,41398,64030,233663,341758,5.57e-7,0.004106907,0.000435421,0.022034702,0.095347598,4.016789453
OPF-polar,pglib_opf_case4917_goc.m,pglib_opf_case4917_goc.m,JuMP,37872,56917,203613,296835,1.141e-6,0.002119842,0.000411659,0.021825176,0.092021955,3.751953623
OPF-polar,pglib_opf_case5658_epigrids.m,pglib_opf_case5658_epigrids.m,JuMP,48552,74821,273109,399168,6.02e-7,0.004345905,0.000477535,0.02674783,0.118112158,4.646219497
OPF-polar,pglib_opf_case6468_rte.m,pglib_opf_case6468_rte.m,JuMP,49734,75937,270896,396097,4.9e-7,0.003529992,0.000479003,0.026691189,0.115184032,4.416093487
OPF-polar,pglib_opf_case6470_rte.m,pglib_opf_case6470_rte.m,JuMP,50482,75976,271746,396293,9.31e-7,0.003596886,0.000549339,0.028206702,0.116524469,4.596728836
OPF-polar,pglib_opf_case6495_rte.m,pglib_opf_case6495_rte.m,JuMP,50426,76124,272030,396935,8.68e-7,0.004135392,0.000576691,0.0289778,0.117967003,4.265694969
OPF-polar,pglib_opf_case6515_rte.m,pglib_opf_case6515_rte.m,JuMP,50546,76290,272581,397730,8.67e-7,0.003787026,0.0005771,0.027595805,0.11593334,4.61138109
OPF-polar,pglib_opf_case7336_epigrids.m,pglib_opf_case7336_epigrids.m,JuMP,62116,95306,346941,506838,8.0e-7,0.005851354,0.000698912,0.036151369,0.144241882,5.789633616
OPF-polar,pglib_opf_case8387_pegase.m,pglib_opf_case8387_pegase.m,JuMP,78748,118702,441065,641188,2.276e-6,0.007391277,0.0010652,0.043282504,0.186226378,7.313672493
OPF-polar,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,130826,491980,713775,1.781e-6,0.012380108,0.001043333,0.058214083,0.204268168,8.610777672
OPF-polar,pglib_opf_case9591_goc.m,pglib_opf_case9591_goc.m,JuMP,83572,130588,478303,700437,5.86e-7,0.008665847,0.000808864,0.048638324,0.207079203,11.200365896
OPF-polar,pglib_opf_case10000_goc.m,pglib_opf_case10000_goc.m,JuMP,76804,112352,400333,581513,2.681e-6,0.005648007,0.000946437,0.039283495,0.170126026,6.569174654
OPF-polar,pglib_opf_case10192_epigrids.m,pglib_opf_case10192_epigrids.m,JuMP,89850,139456,511761,749183,2.463e-6,0.00812776,0.001027261,0.049881861,0.219993075,9.696966141
OPF-polar,pglib_opf_case10480_goc.m,pglib_opf_case10480_goc.m,JuMP,96750,150874,558573,817120,1.579e-6,0.009811818,0.001049834,0.055689633,0.24624807,10.029996377
OPF-polar,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,JuMP,117370,170588,632457,910810,4.904e-6,0.013928539,0.00161982,0.071540296,0.265876203,12.520340838
OPF-polar,pglib_opf_case19402_goc.m,pglib_opf_case19402_goc.m,JuMP,179562,281733,1045514,1529676,1.797e-6,0.017353152,0.001992159,0.120932469,0.471205513,23.070557353
OPF-polar,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,JuMP,179236,274918,1005090,1469424,6.578e-6,0.016672264,0.002187545,0.104792943,0.468138766,22.700781546
OPF-polar,pglib_opf_case24464_goc.m,pglib_opf_case24464_goc.m,JuMP,203374,313641,1156996,1683585,2.704e-6,0.030253096,0.002387668,0.140364817,0.557348922,27.238938104
OPF-polar,pglib_opf_case30000_goc.m,pglib_opf_case30000_goc.m,JuMP,208624,307752,1069981,1558802,2.407e-6,0.019013358,0.002459927,0.114571678,0.475641655,25.414296491
OPF-polar,pglib_opf_case78484_epigrids.m,pglib_opf_case78484_epigrids.m,JuMP,674562,1039062,3794009,5544672,8.065e-6,0.08777469,0.009943461,0.507298611,1.972272568,89.277904778
OPF-rect,pglib_opf_case3_lmbd.m,pglib_opf_case3_lmbd.m,JuMP,24,34,115,128,7.7e-8,1.256e-6,9.88e-7,4.459e-6,2.082e-6,0.000660368
OPF-rect,pglib_opf_case5_pjm.m,pglib_opf_case5_pjm.m,JuMP,44,63,223,248,6.9e-8,2.191e-6,1.014e-6,8.198e-6,4.079e-6,0.000907121
OPF-rect,pglib_opf_case14_ieee.m,pglib_opf_case14_ieee.m,JuMP,118,197,709,758,7.2e-8,7.522e-6,1.307e-6,2.4912e-5,1.275e-5,0.002333914
OPF-rect,pglib_opf_case24_ieee_rts.m,pglib_opf_case24_ieee_rts.m,JuMP,266,363,1381,1564,1.42e-7,1.3303e-5,2.712e-6,4.35e-5,2.2718e-5,0.004511423
OPF-rect,pglib_opf_case30_ieee.m,pglib_opf_case30_ieee.m,JuMP,236,408,1449,1598,6.7e-8,1.5005e-5,1.539e-6,4.9874e-5,2.6054e-5,0.004659496
OPF-rect,pglib_opf_case30_as.m,pglib_opf_case30_as.m,JuMP,236,408,1449,1604,8.7e-8,1.4853e-5,1.662e-6,4.8983e-5,2.6713e-5,0.004464512
OPF-rect,pglib_opf_case39_epri.m,pglib_opf_case39_epri.m,JuMP,282,479,1649,1856,7.3e-8,1.714e-5,2.108e-6,5.4222e-5,2.7674e-5,0.005327285
OPF-rect,pglib_opf_case57_ieee.m,pglib_opf_case57_ieee.m,JuMP,448,789,2809,3058,7.3e-8,2.7373e-5,2.658e-6,0.000104243,5.3099e-5,0.008997416
OPF-rect,pglib_opf_case60_c.m,pglib_opf_case60_c.m,JuMP,518,857,3127,3176,8.7e-8,3.3724e-5,4.068e-6,0.000144385,6.5689e-5,0.009306107
OPF-rect,pglib_opf_case73_ieee_rts.m,pglib_opf_case73_ieee_rts.m,JuMP,824,1133,4337,4912,3.21e-7,4.9198e-5,7.29e-6,0.000167063,9.9031e-5,0.014520305
OPF-rect,pglib_opf_case89_pegase.m,pglib_opf_case89_pegase.m,JuMP,1042,1827,7241,8356,7.5e-8,9.671e-5,5.798e-6,0.000327028,0.000207417,0.020866511
