suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,device,hostname
LV,cragg_levy,200000,JuMP,200000,199998,599994,1199991,0.000146173,0.006852841,0.009480649,0.105236569,0.560085831,0.365522144,0.10660486,0.104757022,41.584453227,CPU-reference,shin-compute-000
LV,broyden_tridiagonal,20,JuMP,20,16,80,137,3.48e-7,3.3e-7,1.139e-6,2.503e-6,3.3879e-5,2.8485e-5,2.547e-6,2.533e-6,0.003185578,CPU-reference,shin-compute-000
LV,broyden_tridiagonal,2000,JuMP,2000,1996,9980,15977,1.849e-6,2.2473e-5,7.4541e-5,0.00043736,0.004269792,0.0033616,0.000438736,0.000439581,0.373620486,CPU-reference,shin-compute-000
LV,broyden_tridiagonal,200000,JuMP,200000,199996,999980,1599977,0.00014553,0.007459254,0.011352135,0.114588796,0.702479425,0.486085699,0.118305747,0.113819681,57.49123828,CPU-reference,shin-compute-000
LV,trigo_tridiagonal,20,JuMP,20,4,14,35,3.61e-7,4.06e-7,7.96e-7,1.388e-6,9.564e-6,8.945e-6,7.63e-7,3.985e-6,0.001191078,CPU-reference,shin-compute-000
LV,trigo_tridiagonal,2000,JuMP,2000,4,14,2015,1.83e-6,1.905e-6,4.5141e-5,2.927e-6,0.000644079,0.000703714,2.302e-6,1.1422e-5,0.086950013,CPU-reference,shin-compute-000
LV,trigo_tridiagonal,200000,JuMP,200000,4,14,200015,0.000152173,0.000152484,0.006402986,0.000153919,0.071911665,0.080462853,0.000153061,0.000794259,12.376234483,CPU-reference,shin-compute-000
LV,augmented_lagrangian,20,JuMP,20,18,54,78,3.51e-7,3.39e-7,8.26e-7,1.941e-6,1.8719e-5,1.4849e-5,1.973e-6,1.977e-6,0.002879624,CPU-reference,shin-compute-000
LV,augmented_lagrangian,2000,JuMP,2000,1998,5994,7998,1.837e-6,1.3701e-5,4.2873e-5,0.000319386,0.002139191,0.00161838,0.000332218,0.000314776,0.302224086,CPU-reference,shin-compute-000
LV,augmented_lagrangian,200000,JuMP,200000,199998,599994,799998,0.000145517,0.006615139,0.005997677,0.088199778,0.346653483,0.236828329,0.091201479,0.087202907,40.374199518,CPU-reference,shin-compute-000
LV,modified_brown,20,JuMP,20,6,30,61,3.62e-7,4.16e-7,7.72e-7,2.031e-6,1.1268e-5,9.193e-6,1.163e-6,4.407e-6,0.001172576,CPU-reference,shin-compute-000
LV,modified_brown,2000,JuMP,2000,6,30,3031,1.846e-6,1.917e-6,3.656e-5,3.562e-6,0.000471241,0.000436672,2.685e-6,1.4689e-5,0.021842694,CPU-reference,shin-compute-000
LV,modified_brown,200000,JuMP,200000,6,30,300031,0.000145558,0.000145833,0.005152013,0.000148307,0.055143443,0.051155632,0.000147187,0.001079612,3.843714835,CPU-reference,shin-compute-000
LV,generalized_brown,20,JuMP,20,18,54,48,3.63e-7,1.772e-6,7.37e-7,1.6338e-5,4.91e-6,4.258e-6,1.768e-6,5.8393e-5,0.000518612,CPU-reference,shin-compute-000
LV,generalized_brown,2000,JuMP,2000,1998,5994,4998,1.838e-6,0.000202257,3.372e-5,0.001965952,0.000483185,0.000382023,0.000203884,0.022245527,0.049305155,CPU-reference,shin-compute-000
LV,generalized_brown,200000,JuMP,200000,199998,599994,499998,0.000150002,0.059739612,0.004644228,0.252092311,0.071514298,0.045719146,0.064726313,158.520343209,8.866611757,CPU-reference,shin-compute-000
LV,chained_hs46,20,JuMP,20,11,33,69,3.64e-7,3.24e-7,7.38e-7,1.233e-6,1.3473e-5,9.888e-6,1.255e-6,1.257e-6,0.001368641,CPU-reference,shin-compute-000
LV,chained_hs46,2000,JuMP,2000,1331,3993,7989,1.838e-6,8.044e-6,3.652e-5,0.000220585,0.001759862,0.001170535,0.00021933,0.00022136,0.15347158,CPU-reference,shin-compute-000
LV,chained_hs46,200000,JuMP,200000,133331,399993,799989,0.000145429,0.003751594,0.004933482,0.062482354,0.283100781,0.164195824,0.062379805,0.060972937,20.212924816,CPU-reference,shin-compute-000
LV,chained_hs47,20,JuMP,20,11,30,48,3.28e-7,1.134e-6,1.869e-6,4.937e-6,2.14e-7,2.14e-7,1.127e-6,3.5493e-5,0.000194292,CPU-reference,shin-compute-000
LV,chained_hs47,2000,JuMP,2000,1496,3990,5988,1.1733e-5,0.000155122,1.0143e-5,0.000684419,2.0343e-5,6.473e-6,0.000157519,0.011547316,0.019803329,CPU-reference,shin-compute-000
LV,chained_hs47,200000,JuMP,200000,149996,399990,599988,0.001152548,0.033133282,0.000839359,0.095815454,0.013003755,0.000684497,0.035673531,68.117162667,3.098054773,CPU-reference,shin-compute-000
LV,chained_hs48,20,JuMP,20,12,48,44,3.16e-7,1.223e-6,1.945e-6,1.0941e-5,2.23e-7,2.09e-7,1.207e-6,3.8934e-5,0.000226185,CPU-reference,shin-compute-000
LV,chained_hs48,2000,JuMP,2000,1332,5328,4664,1.0793e-5,0.000139707,0.000117475,0.001309784,1.7685e-5,5.232e-6,0.000146088,0.014404198,0.021372956,CPU-reference,shin-compute-000
LV,chained_hs48,200000,JuMP,200000,133332,533328,466664,0.001066704,0.026142264,0.01322066,0.152306871,0.009706715,0.000561742,0.027222787,102.41943237,3.060264682,CPU-reference,shin-compute-000
LV,chained_hs49,20,JuMP,20,12,36,38,3.7e-7,1.231e-6,7.46e-7,8.026e-6,6.047e-6,5.286e-6,1.203e-6,3.8752e-5,0.000383772,CPU-reference,shin-compute-000
LV,chained_hs49,2000,JuMP,2000,1332,3996,3998,1.856e-6,0.000136722,3.6547e-5,0.000951522,0.00061512,0.000535754,0.000139116,0.013329452,0.035073194,CPU-reference,shin-compute-000
LV,chained_hs49,200000,JuMP,200000,133332,399996,399998,0.000150106,0.036731705,0.004886279,0.130536754,0.080764495,0.062056458,0.037095258,91.537803983,6.707812425,CPU-reference,shin-compute-000
LV,chained_hs50,20,JuMP,20,11,33,48,3.27e-7,1.117e-6,1.853e-6,6.39e-6,2.13e-7,2.14e-7,1.124e-6,3.5592e-5,0.000215047,CPU-reference,shin-compute-000
LV,chained_hs50,2000,JuMP,2000,1496,4488,5988,1.1734e-5,0.000161984,1.0175e-5,0.000935831,2.0624e-5,6.466e-6,0.000162381,0.014058139,0.022476667,CPU-reference,shin-compute-000
LV,chained_hs50,200000,JuMP,200000,149996,449988,599988,0.001151885,0.034179762,0.00084311,0.1290384,0.01365433,0.000683478,0.032566678,93.287145861,3.911506338,CPU-reference,shin-compute-000
LV,chained_hs51,20,JuMP,20,11,26,36,3.56e-7,1.102e-6,7.21e-7,5.546e-6,4.908e-6,4.251e-6,1.109e-6,3.5549e-5,0.000313473,CPU-reference,shin-compute-000
LV,chained_hs51,2000,JuMP,2000,1496,3491,4491,1.85e-6,0.000160728,4.0082e-5,0.000787812,0.00056435,0.000471845,0.00016914,0.013662538,0.030397095,CPU-reference,shin-compute-000
LV,chained_hs51,200000,JuMP,200000,149996,349991,449991,0.000162388,0.024546767,0.005714996,0.098215416,0.073171319,0.056088877,0.025360606,89.335912933,5.842997036,CPU-reference,shin-compute-000
LV,chained_hs52,20,JuMP,20,11,26,36,3.62e-7,1.148e-6,6.81e-7,5.604e-6,4.495e-6,3.817e-6,1.103e-6,3.5485e-5,0.000297991,CPU-reference,shin-compute-000
LV,chained_hs52,2000,JuMP,2000,1496,3491,4491,1.852e-6,0.000148767,3.4363e-5,0.000778858,0.000514294,0.000416351,0.000149417,0.013628715,0.029113881,CPU-reference,shin-compute-000
LV,chained_hs52,200000,JuMP,200000,149996,349991,449991,0.000153052,0.024491437,0.004869288,0.096195819,0.066674258,0.049409266,0.025185306,89.3011934,5.682351202,CPU-reference,shin-compute-000
LV,chained_hs53,20,JuMP,20,11,26,36,3.59e-7,1.125e-6,7.2e-7,5.633e-6,5.005e-6,4.293e-6,1.102e-6,3.5569e-5,0.000303792,CPU-reference,shin-compute-000
LV,chained_hs53,2000,JuMP,2000,1496,3491,4491,1.855e-6,0.000150713,4.008e-5,0.000784997,0.000578554,0.000480724,0.000151072,0.01364463,0.029820658,CPU-reference,shin-compute-000
LV,chained_hs53,200000,JuMP,200000,149996,349991,449991,0.000151804,0.02330443,0.005698889,0.093070705,0.073359725,0.056990976,0.024003078,89.253084874,5.79994051,CPU-reference,shin-compute-000
LV,rosenrock,20,AMPL,20,18,54,39,2.502e-6,8.832e-6,1.818e-6,1.1591e-5,3.0624e-5,9.877e-6,1.0685e-5,1.3758e-5,0.000413011,CPU-reference,shin-compute-000
LV,rosenrock,2000,AMPL,2000,1998,5994,3999,0.000280598,0.001272745,0.000338528,0.001651735,0.003951749,0.001243898,0.001789479,0.001788671,0.051649767,CPU-reference,shin-compute-000
LV,rosenrock,200000,AMPL,200000,199998,599994,399999,0.038917627,0.213618384,0.093167134,0.286637473,0.593240103,0.212355936,0.315172965,0.3014535,52.283434611,CPU-reference,shin-compute-000
LV,wood,20,AMPL,20,18,54,39,2.503e-6,8.784e-6,1.828e-6,1.1539e-5,3.0644e-5,9.885e-6,1.3648e-5,1.3657e-5,0.000414461,CPU-reference,shin-compute-000
LV,wood,2000,AMPL,2000,1998,5994,3999,0.000280967,0.001275955,0.000341836,0.001662568,0.003959648,0.00125388,0.00175598,0.001795865,0.051719562,CPU-reference,shin-compute-000
LV,chained_powell,20,AMPL,20,18,54,39,2.519e-6,8.806e-6,1.814e-6,1.1566e-5,3.0601e-5,9.863e-6,1.3657e-5,1.3669e-5,0.000414187,CPU-reference,shin-compute-000
LV,chained_powell,2000,AMPL,2000,1998,5994,3999,0.000281332,0.00127238,0.000341494,0.001653209,0.003949736,0.001244573,0.001788114,0.001786495,0.051700741,CPU-reference,shin-compute-000
LV,chained_powell,200000,AMPL,200000,199998,599994,399999,0.039408682,0.213361671,0.090952041,0.287293656,0.596567085,0.209467393,0.316651667,0.301635741,52.243088082,CPU-reference,shin-compute-000
LV,cragg_levy,20,AMPL,20,18,54,39,2.5e-6,8.799e-6,1.813e-6,1.1578e-5,3.0609e-5,9.872e-6,1.3763e-5,1.3767e-5,0.000414193,CPU-reference,shin-compute-000
LV,cragg_levy,2000,AMPL,2000,1998,5994,3999,0.000281303,0.00127791,0.000339739,0.001654852,0.003953356,0.001247853,0.001791371,0.001788724,0.051599225,CPU-reference,shin-compute-000
LV,cragg_levy,200000,AMPL,200000,199998,599994,399999,0.039248099,0.213686433,0.092338407,0.28694219,0.594308168,0.211470957,0.32107453,0.301618651,52.276358231,CPU-reference,shin-compute-000
LV,broyden_tridiagonal,20,AMPL,20,18,54,39,2.508e-6,8.799e-6,1.846e-6,1.1649e-5,3.0584e-5,9.846e-6,1.3776e-5,1.3765e-5,0.000412578,CPU-reference,shin-compute-000
LV,broyden_tridiagonal,2000,AMPL,2000,1998,5994,3999,0.000281025,0.001275429,0.000341349,0.001654635,0.003955718,0.001247912,0.001792468,0.001790356,0.051682411,CPU-reference,shin-compute-000
LV,broyden_tridiagonal,200000,AMPL,200000,199998,599994,399999,0.039239364,0.214051939,0.093037805,0.286377409,0.595997908,0.211136571,0.316736948,0.302358283,52.285137545,CPU-reference,shin-compute-000
LV,broyden_banded,20,AMPL,20,18,54,39,2.501e-6,8.785e-6,1.821e-6,1.1553e-5,3.0613e-5,9.777e-6,1.3703e-5,1.3724e-5,0.000414498,CPU-reference,shin-compute-000
LV,broyden_banded,2000,AMPL,2000,1998,5994,3999,0.000281421,0.001285307,0.00034109,0.001668801,0.003967329,0.001251778,0.00180236,0.001800378,0.051598519,CPU-reference,shin-compute-000
LV,broyden_banded,200000,AMPL,200000,199998,599994,399999,0.039233737,0.213333256,0.090903607,0.286269026,0.594526322,0.211586841,0.316999302,0.301764572,52.262213836,CPU-reference,shin-compute-000
LV,trigo_tridiagonal,20,AMPL,20,18,54,39,2.508e-6,8.783e-6,1.813e-6,1.1587e-5,3.0648e-5,9.854e-6,1.3693e-5,1.3706e-5,0.000413762,CPU-reference,shin-compute-000
LV,trigo_tridiagonal,2000,AMPL,2000,1998,5994,3999,0.000280887,0.0012849,0.00034192,0.001667095,0.00397146,0.001251124,0.001806958,0.001802423,0.051667442,CPU-reference,shin-compute-000
LV,trigo_tridiagonal,200000,AMPL,200000,199998,599994,399999,0.039287927,0.213002575,0.091319662,0.287748872,0.596331193,0.21263015,0.316482665,0.301822004,52.295524225,CPU-reference,shin-compute-000
LV,augmented_lagrangian,20,AMPL,20,18,54,39,2.516e-6,8.842e-6,1.817e-6,1.1642e-5,3.0592e-5,9.832e-6,1.3786e-5,1.3787e-5,0.000414126,CPU-reference,shin-compute-000
LV,augmented_lagrangian,2000,AMPL,2000,1998,5994,3999,0.000281051,0.001277956,0.000340552,0.001663859,0.003961314,0.001249816,0.00179273,0.001792503,0.05184536,CPU-reference,shin-compute-000
LV,augmented_lagrangian,200000,AMPL,200000,199998,599994,399999,0.039603215,0.21607119,0.091810807,0.289766932,0.59819192,0.216265914,0.317825774,0.30293676,52.386646115,CPU-reference,shin-compute-000
LV,modified_brown,20,AMPL,20,18,54,39,2.52e-6,8.834e-6,1.856e-6,1.1659e-5,3.0616e-5,9.855e-6,1.376e-5,1.3774e-5,0.000411677,CPU-reference,shin-compute-000
LV,modified_brown,2000,AMPL,2000,1998,5994,3999,0.000280027,0.001267393,0.000342945,0.001653452,0.003951815,0.001247153,0.001785455,0.001783022,0.051909904,CPU-reference,shin-compute-000
LV,modified_brown,200000,AMPL,200000,199998,599994,399999,0.03949691,0.216783327,0.091256124,0.289429303,0.597726576,0.214313225,0.321249105,0.303346531,52.292484579,CPU-reference,shin-compute-000
LV,generalized_brown,20,AMPL,20,18,54,39,2.518e-6,8.821e-6,1.816e-6,1.1592e-5,3.0692e-5,9.817e-6,1.3746e-5,1.3727e-5,0.000414077,CPU-reference,shin-compute-000
LV,generalized_brown,2000,AMPL,2000,1998,5994,3999,0.000279404,0.001276094,0.00034133,0.00166076,0.003962625,0.001251342,0.0017964,0.001792076,0.051778295,CPU-reference,shin-compute-000
LV,generalized_brown,200000,AMPL,200000,199998,599994,399999,0.039411625,0.216083423,0.09169427,0.287529362,0.598622123,0.215006066,0.320793099,0.302398968,52.288253686,CPU-reference,shin-compute-000
LV,chained_hs46,20,AMPL,20,18,54,39,2.503e-6,8.812e-6,1.822e-6,1.1613e-5,3.063e-5,9.888e-6,1.3781e-5,1.3771e-5,0.000414585,CPU-reference,shin-compute-000
LV,chained_hs46,2000,AMPL,2000,1998,5994,3999,0.000280872,0.001277086,0.000344099,0.001657678,0.003955686,0.001246296,0.001789766,0.001787534,0.051662403,CPU-reference,shin-compute-000
LV,chained_hs46,200000,AMPL,200000,199998,599994,399999,0.039489849,0.215516825,0.091299643,0.288698076,0.598135279,0.216610171,0.320601285,0.302033006,52.276892884,CPU-reference,shin-compute-000
LV,chained_hs47,20,AMPL,20,18,54,39,2.51e-6,8.806e-6,1.824e-6,1.1627e-5,3.0587e-5,9.837e-6,1.3721e-5,1.3716e-5,0.000409298,CPU-reference,shin-compute-000
LV,chained_hs47,2000,AMPL,2000,1998,5994,3999,0.000280724,0.001284673,0.000345039,0.001669182,0.003969874,0.001253956,0.00180277,0.001801568,0.051868844,CPU-reference,shin-compute-000
LV,chained_hs47,200000,AMPL,200000,199998,599994,399999,0.040172754,0.22046748,0.093741226,0.294507912,0.609259195,0.218810285,0.329470347,0.310540219,52.463902997,CPU-reference,shin-compute-000
LV,chained_hs48,20,AMPL,20,18,54,39,2.508e-6,8.791e-6,1.831e-6,1.1595e-5,3.0652e-5,9.833e-6,1.3717e-5,1.3694e-5,0.000412805,CPU-reference,shin-compute-000
LV,chained_hs48,2000,AMPL,2000,1998,5994,3999,0.000117893,0.001326608,0.000359956,0.001736348,0.004049626,0.001278814,0.001858484,0.001858005,0.052727359,CPU-reference,shin-compute-000
LV,chained_hs48,200000,AMPL,200000,199998,599994,399999,0.039957671,0.217507639,0.094380907,0.291402999,0.603476545,0.216540996,0.321198899,0.306774616,52.404549132,CPU-reference,shin-compute-000
LV,chained_hs49,20,AMPL,20,18,54,39,2.508e-6,8.826e-6,1.833e-6,1.1607e-5,3.0531e-5,9.867e-6,1.3729e-5,1.3713e-5,0.00041281,CPU-reference,shin-compute-000
LV,chained_hs49,2000,AMPL,2000,1998,5994,3999,0.00028556,0.001326849,0.000360963,0.001737966,0.004058867,0.001280349,0.001873832,0.00187,0.051901441,CPU-reference,shin-compute-000
LV,chained_hs49,200000,AMPL,200000,199998,599994,399999,0.040323557,0.217414254,0.095211667,0.291992686,0.602562751,0.213792227,0.32121922,0.305657398,52.395285162,CPU-reference,shin-compute-000
LV,chained_hs50,20,AMPL,20,18,54,39,2.513e-6,8.844e-6,1.828e-6,1.1591e-5,3.0627e-5,9.859e-6,1.3703e-5,1.3694e-5,0.000410611,CPU-reference,shin-compute-000
LV,chained_hs50,2000,AMPL,2000,1998,5994,3999,0.00028604,0.001310673,0.000362243,0.00171782,0.004041826,0.001279067,0.001852046,0.001850462,0.051748089,CPU-reference,shin-compute-000
LV,chained_hs50,200000,AMPL,200000,199998,599994,399999,0.040609231,0.21894685,0.097012258,0.294287976,0.606460084,0.221662988,0.3264615,0.307788604,52.393240688,CPU-reference,shin-compute-000
LV,chained_hs51,20,AMPL,20,18,54,39,2.525e-6,8.802e-6,1.832e-6,1.1569e-5,3.0598e-5,9.88e-6,1.3762e-5,1.3737e-5,0.00041136,CPU-reference,shin-compute-000
LV,chained_hs51,2000,AMPL,2000,1998,5994,3999,0.000284109,0.001315728,0.000358825,0.001723235,0.004047661,0.001279938,0.001852691,0.001851047,0.052791679,CPU-reference,shin-compute-000
LV,chained_hs51,200000,AMPL,200000,199998,599994,399999,0.040590393,0.218469859,0.096560694,0.295041651,0.606575688,0.220956761,0.323027964,0.308439269,52.416077965,CPU-reference,shin-compute-000
LV,chained_hs52,20,AMPL,20,18,54,39,2.505e-6,8.767e-6,1.829e-6,1.1599e-5,3.0628e-5,9.865e-6,1.3747e-5,1.3751e-5,0.000414797,CPU-reference,shin-compute-000
LV,chained_hs52,2000,AMPL,2000,1998,5994,3999,0.000284231,0.001323113,0.0003577,0.001736574,0.004057725,0.00128571,0.00187238,0.001872586,0.052522985,CPU-reference,shin-compute-000
LV,chained_hs52,200000,AMPL,200000,199998,599994,399999,0.040428931,0.219046165,0.096362736,0.294734208,0.607077974,0.221926734,0.325589035,0.308146765,52.359810767,CPU-reference,shin-compute-000
LV,chained_hs53,20,AMPL,20,18,54,39,2.507e-6,8.796e-6,1.821e-6,1.1577e-5,3.0619e-5,9.815e-6,1.3709e-5,1.3686e-5,0.00041296,CPU-reference,shin-compute-000
LV,chained_hs53,2000,AMPL,2000,1998,5994,3999,0.00026592,0.001311429,0.000357953,0.001718799,0.004042143,0.001276993,0.001856415,0.001849574,0.052373657,CPU-reference,shin-compute-000
LV,chained_hs53,200000,AMPL,200000,199998,599994,399999,0.040436527,0.218575903,0.093757226,0.29382952,0.602547249,0.217876599,0.321481382,0.306636085,52.477858974,CPU-reference,shin-compute-000
COPS,bearing,"(5, 5)",JuMP,49,28,28,133,6.45e-7,1.31e-7,2.367e-6,1.02e-7,1.34e-7,3.67e-7,1.28e-7,1.28e-7,0.000786529,CPU-reference,shin-compute-000
COPS,bearing,"(35, 35)",JuMP,1369,148,148,4033,1.377e-5,2.68e-7,8.2683e-5,1.06e-7,1.041e-6,6.963e-6,3.15e-7,3.22e-7,0.022919825,CPU-reference,shin-compute-000
COPS,bearing,"(320, 320)",JuMP,103684,1288,1288,310408,0.001049919,1.897e-6,0.007985671,2.08e-7,0.000203152,0.000772832,2.454e-6,2.1796e-5,2.887239692,CPU-reference,shin-compute-000
COPS,camshape,20,JuMP,20,43,100,57,2.36e-7,2.245e-6,1.854e-6,5.612e-6,3.44e-7,1.41e-7,2.247e-6,6.7102e-5,0.00036088,CPU-reference,shin-compute-000
COPS,camshape,2000,JuMP,2000,4003,10000,5997,3.125e-6,0.00021039,0.000114219,0.000477451,3.7203e-5,2.32e-7,0.000221824,0.00940275,0.02878028,CPU-reference,shin-compute-000
COPS,camshape,170000,JuMP,170000,340003,850000,509997,0.000244003,0.02973359,0.011735216,0.05534322,0.014616979,4.9164e-5,0.031306715,21.887016906,3.366134619,CPU-reference,shin-compute-000
COPS,catmix,3,JuMP,71,62,266,36,2.45e-7,2.124e-6,2.021e-6,1.0152e-5,2.95e-7,1.71e-7,2.141e-6,6.1601e-5,0.000600865,CPU-reference,shin-compute-000
COPS,catmix,200,JuMP,4602,4002,17602,2400,2.43e-7,0.000140281,1.8363e-5,0.000739598,1.3485e-5,1.333e-6,0.000144424,0.022061354,0.036033842,CPU-reference,shin-compute-000
COPS,catmix,20000,JuMP,460002,400002,1760002,240000,2.43e-7,0.030936216,0.001655152,0.097981049,0.009626049,0.000139822,0.032212784,180.736961034,5.805193316,CPU-reference,shin-compute-000
COPS,chain,50,JuMP,48,38,159,88,2.3e-7,4.61e-7,1.863e-6,2.71e-6,1.9313e-5,1.38e-7,2.873e-6,2.835e-6,0.002952359,CPU-reference,shin-compute-000
COPS,chain,5000,JuMP,5000,3752,17491,9992,2.3e-7,3.8133e-5,1.7093e-5,0.000492272,0.002493392,1.461e-6,0.000494129,0.000496655,0.326590092,CPU-reference,shin-compute-000
COPS,chain,500000,JuMP,500000,375002,1749991,999992,2.31e-7,0.011088819,0.00153854,0.132324599,0.425141784,0.000153038,0.127821329,0.130288281,43.2247672,CPU-reference,shin-compute-000
COPS,channel,5,JuMP,200,200,1377,40,2.27e-7,4.031e-6,1.931e-6,2.4237e-5,3.27e-7,1.51e-7,4.071e-6,8.2462e-5,0.001738564,CPU-reference,shin-compute-000
COPS,channel,400,JuMP,16000,16000,111187,3200,2.26e-7,0.000339515,1.9079e-5,0.002223139,1.7779e-5,4.714e-6,0.00035275,0.118128101,0.138035641,CPU-reference,shin-compute-000
COPS,channel,42000,JuMP,1680000,1680000,11675987,336000,2.28e-7,0.081724226,0.00182149,0.295196075,0.014068866,0.000550988,0.086031818,1243.571873141,23.205702593,CPU-reference,shin-compute-000
COPS,dirichlet,5,JuMP,3718,1483,10504,19753,2.28e-7,3.3394e-5,1.2466e-5,0.000857162,0.021708766,3.2e-7,0.000712312,0.000747258,1.886652968,CPU-reference,shin-compute-000
COPS,dirichlet,20,JuMP,11683,2743,35644,74233,2.28e-7,0.00011323,3.5334e-5,0.004409127,0.089795163,3.47e-6,0.003775633,0.004028577,8.974616322,CPU-reference,shin-compute-000
COPS,dirichlet,100,JuMP,54163,9463,169724,364793,2.27e-7,0.000552285,0.000157001,0.025113729,0.451119487,1.5731e-5,0.022148866,0.026425977,47.097944838,CPU-reference,shin-compute-000
COPS,elec,5,JuMP,15,5,15,135,3.55e-7,5.62e-7,1.076e-6,1.033e-6,3.4368e-5,9.068e-6,5.54e-7,1.5903e-5,0.000620663,CPU-reference,shin-compute-000
COPS,elec,50,JuMP,150,50,150,11475,4.65e-7,4.991e-6,8.185e-5,1.0052e-5,0.030511422,0.00108472,4.883e-6,0.000163656,0.071144823,CPU-reference,shin-compute-000
COPS,elec,200,JuMP,600,200,600,180900,7.83e-7,2.0739e-5,0.001344566,4.0184e-5,2.406191161,0.023449194,2.0239e-5,0.000720229,2.184852569,CPU-reference,shin-compute-000
COPS,gasoil,2,JuMP,55,52,262,148,4.08e-7,6.68e-7,2.261e-6,1.743e-6,1.0492e-5,2.53e-7,2.084e-6,2.032e-6,0.002020858,CPU-reference,shin-compute-000
COPS,gasoil,200,JuMP,5203,5200,27190,9402,2.25e-6,4.9189e-5,8.6005e-5,0.000282226,0.001258973,2.3e-6,0.000302325,0.000299166,0.123299078,CPU-reference,shin-compute-000
COPS,gasoil,18000,JuMP,468003,468000,2447990,792602,2.301e-6,0.009697654,0.005609905,0.068427232,0.20616353,0.000139768,0.074324952,0.070895541,16.808823435,CPU-reference,shin-compute-000
COPS,glider,2,JuMP,16,15,63,124,2.28e-7,7.35e-7,1.77e-6,6.223e-6,3.7061e-5,1.4e-7,3.84e-6,1.6426e-5,0.005468914,CPU-reference,shin-compute-000
COPS,glider,80,JuMP,406,327,2247,4960,2.29e-7,1.7123e-5,3.13e-6,0.000247581,0.001564246,1.65e-7,0.00015218,0.000846812,0.208406972,CPU-reference,shin-compute-000
COPS,glider,8000,JuMP,40006,32007,224007,496000,2.2e-7,0.002263099,0.000139397,0.038874718,0.212769881,1.1561e-5,0.026967459,2.035034446,26.52194297,CPU-reference,shin-compute-000
COPS,marine,2,JuMP,79,56,194,92,3.91e-7,1.827e-6,2.502e-6,7.523e-6,2.78e-7,2.3e-7,1.914e-6,5.4599e-5,0.001196378,CPU-reference,shin-compute-000
COPS,marine,150,JuMP,4815,4792,16326,3644,1.578e-6,0.000137829,9.8501e-5,0.000595937,1.5326e-5,1.657e-6,0.000147388,0.019916676,0.032056202,CPU-reference,shin-compute-000
COPS,marine,14000,JuMP,448015,447992,1525976,308184,1.038e-6,0.0221464,0.005304721,0.067873159,0.007821696,0.000132676,0.023970864,140.512108493,3.941795077,CPU-reference,shin-compute-000
COPS,methanol,2,JuMP,65,60,312,378,4.11e-7,6.36e-7,2.363e-6,2.647e-6,2.1342e-5,2.59e-7,2.981e-6,2.917e-6,0.003134787,CPU-reference,shin-compute-000
COPS,methanol,50,JuMP,1505,1500,8088,8403,1.772e-6,9.393e-6,2.5688e-5,7.1812e-5,0.000750148,9.55e-7,8.2204e-5,8.0805e-5,0.060106774,CPU-reference,shin-compute-000
